Skills,Education,Interests,Desired_Income,Career_Path,Industry,Required_Experience,Location_Flexibility
Public Speaking,Associate's,Education,165000,Photographer,Engineering,10,On-Site
Marketing,Associate's,Health,135000,Physical Therapist,Business,9,On-Site
Marketing,Bachelor's,Education,180000,Music Producer,Healthcare,3,On-Site
Healthcare,Associate's,Health,195000,Marine Biologist,Engineering,5,On-Site
Design,Bachelor's,Social Work,70000,Sustainable Designer,Education,0,Remote
Public Speaking,PhD,Education,60000,Music Producer,Education,1,On-Site
Teaching,PhD,Finance,115000,Environmental Scientist,Healthcare,0,Remote
Engineering,High School,Environment,95000,Auto Mechanic,Environment,1,On-Site
Healthcare,High School,Finance,140000,Marketing Manager,Finance,6,Remote
Writing,High School,Tech,165000,Filmmaker,Creative Arts,1,Remote
Marketing,PhD,Social Work,120000,Elevator Mechanic,Business,2,Remote
Public Speaking,Master's,Engineering,95000,Astronomer,Trades,5,Remote
Programming,High School,Social Work,175000,Marine Biologist,Environment,9,On-Site
Healthcare,High School,Finance,115000,Web Developer,Healthcare,6,On-Site
Programming,Master's,Art,120000,Sustainable Designer,Engineering,3,Remote
Healthcare,Master's,Art,180000,Marketing Manager,Engineering,10,On-Site
Programming,Bachelor's,Art,160000,Professional Cuddler,Creative Arts,6,On-Site
Marketing,Associate's,Business,95000,Environmental Scientist,Social Services,10,On-Site
Finance,Bachelor's,Art,115000,Marine Biologist,Social Services,8,On-Site
Critical Thinking,Associate's,Writing,165000,Civil Engineer,Education,6,On-Site
Public Speaking,PhD,Social Work,140000,Genetic Counselor,Healthcare,10,On-Site
Teamwork,Master's,Finance,165000,Data Scientist,Social Services,3,Remote
Teamwork,PhD,Finance,75000,Plumber,Trades,8,On-Site
Design,High School,Tech,180000,Information Security Analyst,Healthcare,0,Remote
Critical Thinking,Associate's,Education,195000,Ethical Hacker,Engineering,1,Remote
Finance,PhD,Writing,170000,Marine Biologist,Healthcare,6,On-Site
Design,Associate's,Education,190000,Data Scientist,Environment,5,Remote
Healthcare,PhD,Tech,50000,Sustainable Designer,Creative Arts,4,Remote
Finance,Master's,Art,135000,Wind Turbine Technician,Social Services,2,On-Site
Teaching,High School,Education,140000,Information Security Analyst,Finance,8,Remote
Engineering,Associate's,Tech,30000,Music Producer,Finance,3,On-Site
Public Speaking,Bachelor's,Writing,55000,Video Game Designer,Business,8,Remote
Writing,Bachelor's,Environment,35000,DevOps Engineer,Technology,0,Remote
Data Analysis,Bachelor's,Social Work,195000,Genetic Counselor,Education,0,On-Site
